"","IdCandidato","CanNombre","ParNombre","Idpartido","Votos"
"1",1,"ALVARO IGNACIO IGUARAN URIANA","AUTORIDAD TRADICIONAL CASIYOUREN",1,1408
"2",2,"HILDUARA DIANSNETH BARLIZA BRITO","AUTORIDAD TRADICIONAL CASIYOUREN",1,2578
"3",3,"SOLO POR EL PARTIDO","AUTORIDAD TRADICIONAL CASIYOUREN",1,902
"4",4,"ADOLFO ANTONIO ORDOÑEZ CHADID","COALICIÓN LISTA DE LA DECENCIA (ASI,UP,MAIS)",2,11911
"5",5,"ADOLFO CAICEDO CORDOBA","COALICIÓN LISTA DE LA DECENCIA (ASI,UP,MAIS)",2,378
"6",6,"AIDA YOLANDA AVELLA ESQUIVEL","COALICIÓN LISTA DE LA DECENCIA (ASI,UP,MAIS)",2,57330
"7",7,"ALBA LUZ GONZALEZ MARTINEZ","COALICIÓN LISTA DE LA DECENCIA (ASI,UP,MAIS)",2,2975
"8",8,"ALBERTO CHAVARRO DIAZ","COALICIÓN LISTA DE LA DECENCIA (ASI,UP,MAIS)",2,169
"9",9,"ALBERTO LUIS DONADO BELTRAN","COALICIÓN LISTA DE LA DECENCIA (ASI,UP,MAIS)",2,151
"10",10,"ALFREDO GUZMAN FERIS","COALICIÓN LISTA DE LA DECENCIA (ASI,UP,MAIS)",2,487
"11",11,"ALICIA CHAVES RUIZ","COALICIÓN LISTA DE LA DECENCIA (ASI,UP,MAIS)",2,456
"12",12,"ALVARO EGEA RAMIREZ","COALICIÓN LISTA DE LA DECENCIA (ASI,UP,MAIS)",2,710
"13",13,"ANIBAL DE JESUS CORREA MARIÑO","COALICIÓN LISTA DE LA DECENCIA (ASI,UP,MAIS)",2,1783
"14",14,"ARMANDO VILLEGAS CENTENO","COALICIÓN LISTA DE LA DECENCIA (ASI,UP,MAIS)",2,722
"15",15,"BELLA ROSA REALES PERTUZ","COALICIÓN LISTA DE LA DECENCIA (ASI,UP,MAIS)",2,495
"16",16,"BLANCA ESPERANZA GONZALEZ SOSA","COALICIÓN LISTA DE LA DECENCIA (ASI,UP,MAIS)",2,514
"17",17,"CARLOS ARTURO MARTINEZ BERMUDEZ","COALICIÓN LISTA DE LA DECENCIA (ASI,UP,MAIS)",2,1676
"18",18,"CARLOS EDUARDO TORO AVILA","COALICIÓN LISTA DE LA DECENCIA (ASI,UP,MAIS)",2,9994
"19",19,"CARLOS HUMBERTO RUIZ RAMIREZ","COALICIÓN LISTA DE LA DECENCIA (ASI,UP,MAIS)",2,798
