"","IdPuestoV","PuestoNombre","CantMesas","TotVotos","Depto","Mpio","DeCodigo","MpCodigo"
"1",145,"BERLIN CONSULADO",65,190,"CONSULADOS","ALEMANIA",NA,NA
"2",146,"FRANKFURT CONSULADO",69,177,"CONSULADOS","ALEMANIA",NA,NA
"3",147,"HAMBURGO",33,106,"CONSULADOS","ALEMANIA",NA,NA
"4",148,"JUEVES BERLIN CONSULADO",16,33,"CONSULADOS","ALEMANIA",NA,NA
"5",149,"JUEVES FRANKFURT CONSULADO",22,47,"CONSULADOS","ALEMANIA",NA,NA
"6",150,"LUNES BERLIN CONSULADO",11,21,"CONSULADOS","ALEMANIA",NA,NA
"7",151,"LUNES FRANKFURT CONSULADO",12,31,"CONSULADOS","ALEMANIA",NA,NA
"8",152,"MARTES BERLIN CONSULADO",14,26,"CONSULADOS","ALEMANIA",NA,NA
"9",153,"MARTES FRANKFURT CONSULADO",11,32,"CONSULADOS","ALEMANIA",NA,NA
"10",154,"MIERCOLES BERLIN CONSULADO",16,36,"CONSULADOS","ALEMANIA",NA,NA
"11",155,"MIERCOLES FRANKFURT CONSULADO",16,29,"CONSULADOS","ALEMANIA",NA,NA
"12",156,"MUNICH",7,10,"CONSULADOS","ALEMANIA",NA,NA
"13",157,"SABADO BERLIN CONSULADO",32,117,"CONSULADOS","ALEMANIA",NA,NA
"14",158,"SABADO FRANKFURT CONSULADO",32,115,"CONSULADOS","ALEMANIA",NA,NA
"15",159,"VIERNES BERLIN CONSULADO",19,50,"CONSULADOS","ALEMANIA",NA,NA
"16",160,"VIERNES FRANKFURT CONSULADO",26,61,"CONSULADOS","ALEMANIA",NA,NA
"17",493,"LUNES ARGEL CONSULADO",2,5,"CONSULADOS","ARGELIA",NA,NA
"18",505,"BUENOS AIRES CONSULADO",563,1438,"CONSULADOS","ARGENTINA",NA,NA
"19",506,"JUEVES BUENOS AIRES CONSULADO",61,160,"CONSULADOS","ARGENTINA",NA,NA
"20",507,"LUNES BUENOS AIRES CONSULADO",26,44,"CONSULADOS","ARGENTINA",NA,NA
"21",508,"MARTES BUENOS AIRES CONSULADO",34,99,"CONSULADOS","ARGENTINA",NA,NA
"22",509,"MENDOZA",6,8,"CONSULADOS","ARGENTINA",NA,NA
"23",510,"MIERCOLES BUENOS AIRES CONSULADO",42,146,"CONSULADOS","ARGENTINA",NA,NA
"24",511,"SABADO BUENOS AIRES CONSULADO",77,364,"CONSULADOS","ARGENTINA",NA,NA
"25",512,"VIERNES BUENOS AIRES CONSULADO",72,233,"CONSULADOS","ARGENTINA",NA,NA
"26",587,"JUEVES ORANJESTAD CONSULADO",22,44,"CONSULADOS","ARUBA",NA,NA
"27",588,"LUNES ORANJESTAD CONSULADO",12,23,"CONSULADOS","ARUBA",NA,NA
"28",589,"MARTES ORANJESTAD CONSULADO",18,40,"CONSULADOS","ARUBA",NA,NA
"29",590,"MIERCOLES ORANJESTAD CONSULADO",17,44,"CONSULADOS","ARUBA",NA,NA
"30",591,"ORANJESTAD CONSULADO",228,553,"CONSULADOS","ARUBA",NA,NA
"31",592,"SABADO ORANJESTAD CONSULADO",34,77,"CONSULADOS","ARUBA",NA,NA
"32",593,"VIERNES ORANJESTAD CONSULADO",28,60,"CONSULADOS","ARUBA",NA,NA
"33",594,"BAKU CONSULADO",2,2,"CONSULADOS","ARZERBAIYAN",NA,NA
"34",595,"JUEVES BAKU CONSULADO",2,3,"CONSULADOS","ARZERBAIYAN",NA,NA
"35",596,"LUNES BAKU CONSULADO",2,4,"CONSULADOS","ARZERBAIYAN",NA,NA
"36",597,"MARTES BAKU CONSULADO",3,3,"CONSULADOS","ARZERBAIYAN",NA,NA
"37",598,"MIERCOLES BAKU CONSULADO",2,2,"CONSULADOS","ARZERBAIYAN",NA,NA
"38",599,"VIERNES BAKU CONSULADO",1,1,"CONSULADOS","ARZERBAIYAN",NA,NA
"39",629,"BRISBANE",107,409,"CONSULADOS","AUSTRALIA",NA,NA
"40",630,"CANBERRA CONSULADO",6,15,"CONSULADOS","AUSTRALIA",NA,NA
"41",631,"JUEVES CANBERRA CONSULADO",10,12,"CONSULADOS","AUSTRALIA",NA,NA
"42",632,"JUEVES SYDNEY CONSULADO",22,59,"CONSULADOS","AUSTRALIA",NA,NA
"43",633,"LUNES CANBERRA CONSULADO",4,8,"CONSULADOS","AUSTRALIA",NA,NA
"44",634,"LUNES SYDNEY CONSULADO",12,24,"CONSULADOS","AUSTRALIA",NA,NA
"45",635,"MARTES CANBERRA CONSULADO",4,6,"CONSULADOS","AUSTRALIA",NA,NA
"46",636,"MARTES SYDNEY CONSULADO",19,42,"CONSULADOS","AUSTRALIA",NA,NA
"47",637,"MELBOURNE",221,883,"CONSULADOS","AUSTRALIA",NA,NA
"48",638,"MIERCOLES CANBERRA CONSULADO",3,4,"CONSULADOS","AUSTRALIA",NA,NA
"49",639,"MIERCOLES SYDNEY CONSULADO",25,68,"CONSULADOS","AUSTRALIA",NA,NA
"50",640,"PERTH",53,218,"CONSULADOS","AUSTRALIA",NA,NA
"51",641,"SABADO CANBERRA CONSULADO",14,18,"CONSULADOS","AUSTRALIA",NA,NA
"52",642,"SABADO SYDNEY CONSULADO",62,263,"CONSULADOS","AUSTRALIA",NA,NA
"53",643,"SYDNEY CONSULADO",106,311,"CONSULADOS","AUSTRALIA",NA,NA
"54",644,"VIERNES CANBERRA CONSULADO",3,4,"CONSULADOS","AUSTRALIA",NA,NA
"55",645,"VIERNES SYDNEY CONSULADO",32,83,"CONSULADOS","AUSTRALIA",NA,NA
"56",646,"GRAZ CONSULADO HONORARIO",10,21,"CONSULADOS","AUSTRIA",NA,NA
"57",647,"JUEVES VIENA CONSULADO",14,21,"CONSULADOS","AUSTRIA",NA,NA
"58",648,"LUNES VIENA CONSULADO",4,9,"CONSULADOS","AUSTRIA",NA,NA
"59",649,"MARTES VIENA CONSULADO",8,13,"CONSULADOS","AUSTRIA",NA,NA
"60",650,"MIERCOLES VIENA CONSULADO",9,12,"CONSULADOS","AUSTRIA",NA,NA
"61",651,"SABADO VIENA CONSULADO",22,45,"CONSULADOS","AUSTRIA",NA,NA
"62",652,"VIENA CONSULADO",34,103,"CONSULADOS","AUSTRIA",NA,NA
"63",653,"VIERNES VIENA CONSULADO",19,45,"CONSULADOS","AUSTRIA",NA,NA
"64",1006,"BRUSELAS CONSULADO",98,238,"CONSULADOS","BELGICA",NA,NA
"65",1007,"JUEVES BRUSELAS CONSULADO",20,36,"CONSULADOS","BELGICA",NA,NA
"66",1008,"LUNES BRUSELAS CONSULADO",15,26,"CONSULADOS","BELGICA",NA,NA
"67",1009,"MARTES BRUSELAS CONSULADO",20,40,"CONSULADOS","BELGICA",NA,NA
"68",1010,"MIERCOLES BRUSELAS CONSULADO",29,56,"CONSULADOS","BELGICA",NA,NA
"69",1011,"SABADO BRUSELAS CONSULADO",41,107,"CONSULADOS","BELGICA",NA,NA
"70",1012,"VIERNES BRUSELAS CONSULADO",31,62,"CONSULADOS","BELGICA",NA,NA
"71",1013,"BELMOPAN - CONSULADO HONORARIO",7,18,"CONSULADOS","BELICE",NA,NA
"72",1745,"ALFONSO LOPEZ",84,343,"ANTIOQUIA","BOLIVAR",NA,NA
"73",1755,"CARCEL",7,15,"ANTIOQUIA","BOLIVAR",NA,NA
"74",1761,"COLISEO CUBIERTO",635,1844,"ANTIOQUIA","BOLIVAR",NA,NA
"75",1779,"FARALLONES",98,377,"ANTIOQUIA","BOLIVAR",NA,NA
"76",1789,"I.E.MARIA AUXILIADORA",673,1699,"ANTIOQUIA","BOLIVAR",NA,NA
"77",1790,"I.EDU. SAN JOSE DEL CITARA",598,1879,"ANTIOQUIA","BOLIVAR",NA,NA
"78",1791,"I.EDUCATIVA JOSE MARIA HERRAN",623,1855,"ANTIOQUIA","BOLIVAR",NA,NA
"79",1799,"LA LINDA",44,162,"ANTIOQUIA","BOLIVAR",NA,NA
"80",1859,"JUEVES LA PAZ CONSULADO",2,3,"CONSULADOS","BOLIVIA",NA,NA
"81",1860,"LA PAZ CONSULADO",9,18,"CONSULADOS","BOLIVIA",NA,NA
"82",1861,"LUNES LA PAZ CONSULADO",2,5,"CONSULADOS","BOLIVIA",NA,NA
"83",1862,"MARTES LA PAZ CONSULADO",4,4,"CONSULADOS","BOLIVIA",NA,NA
"84",1863,"MIERCOLES LA PAZ CONSULADO",2,4,"CONSULADOS","BOLIVIA",NA,NA
"85",1864,"SABADO LA PAZ CONSULADO",7,9,"CONSULADOS","BOLIVIA",NA,NA
"86",1865,"SANTA CRUZ DE LA SIERRA CONSUL. HON.",39,113,"CONSULADOS","BOLIVIA",NA,NA
"87",1866,"VIERNES LA PAZ CONSULADO",5,6,"CONSULADOS","BOLIVIA",NA,NA
"88",1868,"BELO HORIZONTE",16,38,"CONSULADOS","BRASIL",NA,NA
"89",1869,"BRASILIA CONSULADO",20,27,"CONSULADOS","BRASIL",NA,NA
"90",1870,"CURUTIBA CONSULADO HONORARIO",20,56,"CONSULADOS","BRASIL",NA,NA
"91",1871,"FLORIANAPOLIS",15,33,"CONSULADOS","BRASIL",NA,NA
"92",1872,"FORTALEZA CONSULADO HONORARIO",7,30,"CONSULADOS","BRASIL",NA,NA
"93",1873,"JUEVES BRASILIA CONSULADO",6,10,"CONSULADOS","BRASIL",NA,NA
"94",1874,"JUEVES MANAOS - CONSULADO",6,11,"CONSULADOS","BRASIL",NA,NA
"95",1875,"JUEVES SAO PAULO CONSULADO",25,42,"CONSULADOS","BRASIL",NA,NA
"96",1876,"JUEVES TABATINGA CONSULADO",2,3,"CONSULADOS","BRASIL",NA,NA
"97",1877,"LUNES BRASILIA CONSULADO",4,6,"CONSULADOS","BRASIL",NA,NA
"98",1878,"LUNES MANAOS - CONSULADO",2,2,"CONSULADOS","BRASIL",NA,NA
