"","IdPuestoV","PuestoNombre","CantMesas","TotVotos","Depto","Mpio","DeCodigo","MpCodigo"
"1",1,"CARCEL MUNICIPAL",7,7,"ANTIOQUIA","ABEJORRAL","05","05002"
"2",2,"CHAGUALAL",48,161,"ANTIOQUIA","ABEJORRAL","05","05002"
"3",3,"GUAICO GRANDE",42,116,"ANTIOQUIA","ABEJORRAL","05","05002"
"4",4,"PANTANILLO",69,189,"ANTIOQUIA","ABEJORRAL","05","05002"
"5",5,"PORTUGAL",20,58,"ANTIOQUIA","ABEJORRAL","05","05002"
"6",6,"PUESTO CABECERA MUNICIPAL",1310,3745,"ANTIOQUIA","ABEJORRAL","05","05002"
"7",7,"PURIMA",18,72,"ANTIOQUIA","ABEJORRAL","05","05002"
"8",8,"CANOAS",6,33,"NORTE DE SAN","ABREGO","54","54003"
"9",9,"CAPITANLARGO",87,424,"NORTE DE SAN","ABREGO","54","54003"
"10",10,"CASITAS",14,163,"NORTE DE SAN","ABREGO","54","54003"
"11",11,"EL CAIRO",6,33,"NORTE DE SAN","ABREGO","54","54003"
"12",12,"EL GUAMAL",24,287,"NORTE DE SAN","ABREGO","54","54003"
"13",13,"EL HIGUERON",24,77,"NORTE DE SAN","ABREGO","54","54003"
"14",14,"EL LLANON",14,130,"NORTE DE SAN","ABREGO","54","54003"
"15",15,"EL LORO",5,21,"NORTE DE SAN","ABREGO","54","54003"
"16",16,"EL TABACO",16,93,"NORTE DE SAN","ABREGO","54","54003"
"17",17,"EL TARRA",36,263,"NORTE DE SAN","ABREGO","54","54003"
"18",18,"GAIRA",5,77,"NORTE DE SAN","ABREGO","54","54003"
"19",19,"HOYO PILON",9,145,"NORTE DE SAN","ABREGO","54","54003"
"20",20,"LA ARENOSA",11,135,"NORTE DE SAN","ABREGO","54","54003"
"21",21,"LA MARIA",20,157,"NORTE DE SAN","ABREGO","54","54003"
"22",22,"LA SIERRA",27,263,"NORTE DE SAN","ABREGO","54","54003"
"23",23,"LOS INDIOS",6,48,"NORTE DE SAN","ABREGO","54","54003"
"24",24,"MONTECRISTO",6,20,"NORTE DE SAN","ABREGO","54","54003"
"25",25,"PLAYONCITOS",10,71,"NORTE DE SAN","ABREGO","54","54003"
"26",26,"PUESTO CABECERA MUNICIPAL",2385,9987,"NORTE DE SAN","ABREGO","54","54003"
"27",27,"SAN JOSE",5,9,"NORTE DE SAN","ABREGO","54","54003"
"28",28,"SAN VICENTE",25,161,"NORTE DE SAN","ABREGO","54","54003"
"29",29,"LA ANTIGUA",47,314,"ANTIOQUIA","ABRIAQUI","05","05004"
"30",30,"PUESTO CABECERA MUNICIPAL",119,722,"ANTIOQUIA","ABRIAQUI","05","05004"
"31",31,"CARCEL",44,119,"META","ACACIAS","50","50006"
